0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
9.428571428571429,3.428571428571429,5.6190476190476195,2.727272727272727,31.80952380952381,0.0,3.428571428571429,0.5772005772005772,0.9966777408637874,7.6190476190476195,3.5271687321258343,2.571428571428571,4.190476190476191,4.666666666666667,6.0,0.6353240152477764,12.571428571428573,9.047619047619047,0.0,41.14285714285714,1.4705882352941175,9.523809523809524,4.666666666666667,13.079777365491651,0.0,19.25925925925926
23.61904761904762,8.0,27.904761904761905,25.58441558441558,8.190476190476192,0.5602240896358543,14.285714285714285,11.688311688311687,20.81949058693245,10.476190476190476,23.83222116301239,9.80952380952381,18.666666666666668,25.71428571428571,19.047619047619047,9.148665819567979,24.952380952380953,20.38095238095238,0.0,47.904761904761905,9.033613445378151,35.42857142857142,47.333333333333336,42.11502782931355,1.098901098901099,79.36507936507937
37.714285714285715,14.38095238095238,47.904761904761905,48.57142857142857,8.190476190476192,3.081232492997199,17.42857142857143,41.55844155844156,39.8671096345515,23.238095238095237,31.935176358436607,18.666666666666668,29.523809523809526,41.714285714285715,26.190476190476193,47.01397712833545,27.23809523809524,27.714285714285715,0.0,60.285714285714285,22.689075630252102,57.14285714285714,66.47619047619048,62.152133580705005,11.355311355311356,86.56084656084656
49.238095238095234,21.428571428571427,53.333333333333336,65.71428571428571,14.476190476190476,17.92717086834734,21.523809523809522,49.06204906204906,53.156146179402,28.000000000000004,41.75405147759771,21.428571428571427,33.23809523809524,46.85714285714286,30.28571428571429,69.8856416772554,32.095238095238095,31.047619047619047,0.0,65.9047619047619,38.445378151260506,62.0,69.14285714285714,69.38775510204081,26.373626373626376,87.08994708994709
59.333333333333336,34.476190476190474,57.61904761904761,77.27272727272727,17.61904761904762,37.81512605042017,32.38095238095238,66.52236652236653,59.2469545957918,37.42857142857143,48.617731172545284,29.04761904761905,37.714285714285715,53.9047619047619,35.04761904761905,80.94027954256671,35.42857142857142,36.857142857142854,0.0,66.85714285714286,55.25210084033614,66.0952380952381,76.28571428571429,78.4786641929499,38.46153846153847,90.15873015873017
64.0,42.76190476190476,65.9047619047619,83.8961038961039,26.0,60.22408963585434,38.761904761904766,78.21067821067821,71.42857142857143,48.38095238095238,54.52812202097236,35.333333333333336,39.714285714285715,58.76190476190476,36.857142857142854,87.67471410419314,41.42857142857143,41.333333333333336,0.0,70.0952380952381,64.70588235294117,74.85714285714286,78.66666666666666,82.93135435992579,58.97435897435898,91.42857142857143
72.76190476190476,57.61904761904761,71.33333333333334,90.64935064935065,35.80952380952381,80.67226890756302,48.38095238095238,85.13708513708514,78.62679955703211,60.1904761904762,61.58245948522403,42.19047619047619,49.142857142857146,65.52380952380953,43.238095238095234,92.37611181702668,45.42857142857143,43.714285714285715,0.0,71.71428571428572,73.10924369747899,79.71428571428572,83.9047619047619,86.92022263450835,69.59706959706959,91.005291005291
78.38095238095238,70.19047619047619,78.0,93.24675324675324,48.57142857142857,86.5546218487395,61.523809523809526,92.4963924963925,90.36544850498339,70.95238095238095,67.68350810295519,51.90476190476191,53.61904761904762,72.09523809523809,50.38095238095238,95.55273189326556,51.42857142857142,49.904761904761905,0.0,76.47619047619048,79.72689075630252,85.80952380952381,86.38095238095238,91.00185528756958,80.95238095238095,93.86243386243386
84.28571428571429,77.42857142857143,85.71428571428571,95.84415584415584,62.1904761904762,90.19607843137256,71.9047619047619,94.66089466089466,90.91915836101883,77.90476190476191,74.92850333651097,59.523809523809526,61.04761904761905,76.47619047619048,59.904761904761905,94.91740787801778,56.19047619047619,57.333333333333336,0.0,77.04761904761904,87.07983193277312,88.66666666666667,90.19047619047619,93.22820037105751,89.01098901098901,95.02645502645503
89.23809523809524,84.0952380952381,88.38095238095238,95.71428571428572,75.42857142857143,96.07843137254902,80.66666666666666,97.97979797979798,95.34883720930233,86.47619047619047,81.31553860819828,70.76190476190476,68.0,82.38095238095238,66.66666666666666,96.69631512071156,65.04761904761904,61.238095238095234,0.0,80.28571428571428,89.70588235294117,91.33333333333333,92.76190476190476,94.89795918367348,90.47619047619048,96.4021164021164
