0,1,2,3
64.8951368649637,0.048851978505129456,53.75428571428571,80.03428571428572
75.30716040916624,34.09868099658036,65.18857142857144,88.90857142857142
77.04440253728785,63.3610161211529,69.93142857142857,91.78285714285714
79.01022915595178,74.69467513434293,73.82285714285715,93.91428571428571
81.67323847076976,81.72936003908158,77.32,95.17142857142858
84.31338933653352,88.47093307278945,81.02857142857142,96.35428571428571
87.85073432767587,91.84171958964338,84.96000000000001,97.15428571428572
90.25087147837019,94.1866145578896,88.65714285714286,97.81142857142856
92.82244699697125,96.28724963361016,91.62857142857142,98.58857142857143
95.24544259671981,97.80166096726917,94.66285714285713,98.88
97.03983084747699,97.8505129457743,96.61714285714285,99.31428571428572
98.10274872849877,99.07181240840254,97.87428571428572,99.58857142857143
98.96565518029603,98.92525647288714,98.72571428571429,99.74285714285715
99.40568032458998,99.65803615046408,99.22285714285715,99.77714285714285
99.59997714155094,99.56033219345383,99.48,99.87428571428572
99.72569861134922,99.70688812896921,99.66285714285715,99.95428571428572
99.87999314246528,99.70688812896921,99.7942857142857,99.97142857142856
99.82284701982971,99.80459208597948,99.81714285714285,99.96000000000001
